ID, Name, Degree
"Shiraz Shahid Dastghaib International Airport", SYZ, 109
"Ordos Ejin Horo Airport", DSN, 109
"Turin Airport", TRN, 109
"John Wayne Airport-Orange County Airport", SNA, 109
"Port Moresby Jacksons International Airport", POM, 108
"Paphos International Airport", PFO, 108
"Manas International Airport", FRU, 107
"Quatro de Fevereiro Airport", LAD, 107
"Changzhou Benniu Airport", CZX, 107
"Ajaccio-Napol�on Bonaparte Airport", AJA, 106
"Strasbourg Airport", SXB, 106
"Tirana International Airport Mother Teresa", TIA, 106
"Taipei Songshan Airport", TSA, 106
"Yuncheng Guangong Airport", YCU, 105
"Cadjehoun Airport", COO, 105
"Palm Beach International Airport", PBI, 105
"Erbil International Airport", EBL, 104
"Julius Nyerere International Airport", DAR, 104
"Nnamdi Azikiwe International Airport", ABV, 103
"Sir Seewoosagur Ramgoolam International Airport", MRU, 103
"Frankfurt-Hahn Airport", HHN, 103
"Will Rogers World Airport", OKC, 103
"Montpellier-M�diterran�e Airport", MPL, 102
"Tenerife Norte Airport", TFN, 101
"La Aurora Airport", GUA, 101
"Jos� Joaqu�n de Olmedo International Airport", GYE, 101
"Yichang Sanxia Airport", YIH, 101
"Zhanjiang Airport", ZHA, 101
"Copernicus Wroclaw Airport", WRO, 101
"Kahului Airport", OGG, 101
"Sochi International Airport", AER, 100
"Girona Airport", GRO, 100
"Albuquerque International Sunport", ABQ, 99
"Nadi International Airport", NAN, 99
"General Abelardo L. Rodr�guez International Airport", TIJ, 99
"Eduardo Gomes International Airport", MAO, 99
"Chisinau International Airport", KIV, 99
"Kazan International Airport", KZN, 99
"Treviso-Sant'Angelo Airport", TSF, 98
"Rotterdam The Hague Airport", RTM, 98
"Darwin International Airport", DRW, 98
"Sultan Aji Muhamad Sulaiman Airport", BPN, 98
"Borg El Arab International Airport", HBE, 98
"Taichung Ching Chuang Kang Airport", RMQ, 97
"Louisville International Standiford Field", SDF, 96
"Pune Airport", PNQ, 96
"Aberdeen Dyce Airport", ABZ, 96
"Osaka International Airport", ITM, 95
"Tripoli International Airport", TIP, 95
"Al Massira Airport", AGA, 95
"Mianyang Airport", MIG, 95
"Yakutsk Airport", YKS, 94
"Val de Cans/J�lio Cezar Ribeiro International Airport", BEL, 94
"Trivandrum International Airport", TRV, 94
"Baotou Airport", BAV, 94
"Enfidha - Hammamet International Airport", NBE, 94
"Norfolk International Airport", ORF, 94
"Lokpriya Gopinath Bordoloi International Airport", GAU, 94
"Entebbe International Airport", EBB, 93
"Eppley Airfield", OMA, 93
"Platov International Airport", ROV, 93
"Trondheim Airport V�rnes", TRD, 93
"Katowice International Airport", KTW, 93
"Santos Dumont Airport", SDU, 93
"Kigali International Airport", KGL, 92
"Richmond International Airport", RIC, 92
"Dortmund Airport", DTM, 92
"Verona Villafranca Airport", VRN, 92
"Faa'a International Airport", PPT, 92
"Santiago de Compostela Airport", SCQ, 91
"V.C. Bird International Airport", ANU, 91
"Adi Sutjipto International Airport", JOG, 91
"Xishuangbanna Gasa Airport", JHG, 91
"Kiev Zhuliany International Airport", IEV, 89
"Antonio B. Won Pat International Airport", GUM, 89
"Hato International Airport", CUR, 88
"Dayong Airport", DYG, 88
"Atat�rk International Airport", ISL, 88
"Jose Maria C�rdova International Airport", MDE, 88
"Christchurch International Airport", CHC, 88
"Gimpo International Airport", GMP, 88
"Salzburg Airport", SZG, 87
"Baghdad International Airport", BGW, 87
"Beihai Airport", BHY, 87
"Menorca Airport", MAH, 87
"Es Senia Airport", ORN, 87
"Cam Ranh Airport", CXR, 86
"Xuzhou Guanyin Airport", XUZ, 85
"Djerba Zarzis International Airport", DJE, 85
"Charleston Air Force Base-International Airport", CHS, 84
"Belfast International Airport", BFS, 84
"Lianyungang Airport", LYG, 84
"Mandalay International Airport", MDL, 84
"Sandefjord Airport, Torp", TRF, 84
"St Petersburg Clearwater International Airport", PIE, 84
"Calicut International Airport", CCJ, 83
"Kenneth Kaunda International Airport Lusaka", LUN, 83
"Kurumoch International Airport", KUF, 82
"Buffalo Niagara International Airport", BUF, 82
"Weeze Airport", NRN, 82
"Dabolim Airport", GOI, 82
"Cork Airport", ORK, 81
"Jersey Airport", JER, 81
"Wellington International Airport", WLG, 81
"Piarco International Airport", POS, 81
"Lhasa Gonggar Airport", LXA, 80
"Lamezia Terme Airport", SUF, 80
"Yancheng Airport", YNZ, 80
"Ouagadougou Airport", OUA, 80
"James M Cox Dayton International Airport", DAY, 80
"Lianshui Airport", HIA, 79
"Providenciales Airport", PLS, 79
"Kualanamu International Airport", KNO, 79
"Yangzhou Taizhou Airport", YTY, 78
"Jaipur International Airport", JAI, 78
"Philip S. W. Goldson International Airport", BZE, 77
"Husein Sastranegara International Airport", BDO, 77
"Tucson International Airport", TUS, 77
"Hamid Karzai International Airport", KBL, 77
"Phoenix-Mesa-Gateway Airport", AZA, 77
"Marechal Rondon Airport", CGB, 77
"Sultan Mahmud Badaruddin II Airport", PLM, 76
"Nantong", NTG, 76
"Ndjili International Airport", FIH, 76
"Alfonso Bonilla Aragon International Airport", CLO, 76
"Wattay International Airport", VTE, 76
"Gerald R. Ford International Airport", GRR, 76
"Albany International Airport", ALB, 76
"Sana'a International Airport", SAH, 75
"Birmingham-Shuttlesworth International Airport", BHM, 75
"Hang Nadim International Airport", BTH, 75
"Modibo Keita International Airport", BKO, 74
"Ingeniero Ambrosio Taravella Airport", COR, 74
"Sendai Airport", SDJ, 74
"Milas Bodrum International Airport", BJV, 74
"Moss Airport, Rygge", RYG, 74
"Shubuling Airport", LYI, 74
"Khudzhand Airport", LBD, 74
"Cardiff International Airport", CWL, 74
"Robert Gabriel Mugabe International Airport", HRE, 74
"Memmingen Allgau Airport", FMM, 74
"Stockholm Skavsta Airport", NYO, 74
"Skopje Alexander the Great Airport", SKP, 73
"Gold Coast Airport", OOL, 73
"Roshchino International Airport", TJM, 73
"Cyril E. King Airport", STT, 73
"Ufa International Airport", UFA, 73
"Lom�-Tokoin Airport", LFW, 72
"Cluj-Napoca International Airport", CLJ, 72
"Bethel Airport", BET, 72
"Greenville Spartanburg International Airport", GSP, 72
"Ljubljana Jo�e Pucnik Airport", LJU, 72
"Fairbanks International Airport", FAI, 72
"Ahwaz Airport", AWZ, 71
"Diosdado Macapagal International Airport", CRK, 71
"Peshawar International Airport", PEW, 71
"Southampton Airport", SOU, 70
"Pointe-�-Pitre Le Raizet", PTP, 70
"Palm Springs International Airport", PSP, 70
"Libreville Leon M'ba International Airport", LBV, 70
"Ivato Airport", TNR, 70
"Myrtle Beach International Airport", MYR, 70
"Mineralnyye Vody Airport", MRV, 69
"Tunxi International Airport", TXN, 69
"Osh Airport", OSS, 69
"McGhee Tyson Airport", TYS, 69
"Modlin Airport", WMI, 68
"Shannon Airport", SNN, 68
"Ibn Batouta Airport", TNG, 68
"Dongshan Airport", HLD, 67
"Sa�ss Airport", FEZ, 67
"Des Moines International Airport", DSM, 67
"Yiwu Airport", YIW, 67
"Alghero-Fertilia Airport", AHO, 67
"Reno Tahoe International Airport", RNO, 67
"Pri�tina International Airport", PRN, 67
"Quebec Jean Lesage International Airport", YQB, 66
"Carrasco International /General C L Berisso Airport", MVD, 66
"Savannah Hilton Head International Airport", SAV, 65
"Zunyi Xinzhou Airport", ZYI, 65
"Theodore Francis Green State Airport", PVD, 65
"Greater Rochester International Airport", ROC, 65
"Tulsa International Airport", TUL, 65
"Brindisi � Salento Airport", BDS, 64
"Yellowknife Airport", YZF, 64
"Blaise Diagne International Airport", DSS, 64
"Weihai Airport", WEH, 64
"M. R. �tef�nik Airport", BTS, 64
"Brunei International Airport", BWN, 64
"Viru Viru International Airport", VVI, 64
"Achmad Yani Airport", SRG, 64
"Chelyabinsk Balandino Airport", CEK, 64
"Toussaint Louverture International Airport", PAP, 64
"Kuching International Airport", KCH, 63
"Sam Ratulangi Airport", MDC, 63
"Zadar Airport", ZAD, 63
"Maya-Maya Airport", BZV, 63
"Am�lcar Cabral International Airport", SID, 63
"Northwest Arkansas Regional Airport", XNA, 63
"Troms� Airport,", TOS, 63
"Esfahan Shahid Beheshti International Airport", IFN, 63
"Ellison Onizuka Kona International At Keahole Airport", KOA, 62
"Yaound� Nsimalen International Airport", NSI, 62
"Korla Airport", KRL, 62
"El Alto International Airport", LPB, 62
"Boise Air Terminal/Gowen Field", BOI, 62
"Ontario International Airport", ONT, 62
"Lungi International Airport", FNA, 62
"Norman Manley International Airport", KIN, 62
"General Ignacio P. Garcia International Airport", HMO, 62
"Xiangyang Liuji Airport", XFN, 62
"Datong Airport", DAT, 62
"Daniel Oduber Quiros International Airport", LIR, 62
"Sultan Abdul Aziz Shah International Airport", SZB, 62
"Vincenzo Florio Airport Trapani-Birgi", TPS, 61
"Santa Genoveva Airport", GYN, 61
"Silvio Pettirossi International Airport", ASU, 61
"Luzhou Airport", LZO, 61
"Herc�lio Luz International Airport", FLN, 61
"Sir Grantley Adams International Airport", BGI, 61
"Dresden Airport", DRS, 61
"King Shaka International Airport", DUR, 60
"Kalibo International Airport", KLO, 60
"Changzhi Airport", CIH, 60
"Owen Roberts International Airport", GCM, 60
"Bill & Hillary Clinton National Airport/Adams Field", LIT, 60
"Rafael Nu�ez International Airport", CTG, 59
"Piedmont Triad International Airport", GSO, 59
"Syracuse Hancock International Airport", SYR, 59
"Chaudhary Charan Singh International Airport", LKO, 59
"Bauerfield International Airport", VLI, 59
"Liuzhou Bailian Airport", LZH, 58
"Maputo Airport", MPM, 58
"Akron Canton Regional Airport", CAK, 58
"El Paso International Airport", ELP, 58
"Al Najaf International Airport", NJF, 58
"Poznan-Lawica Airport", POZ, 58
"Stockholm-Bromma Airport", BMA, 57
"Karlsruhe Baden-Baden Airport", FKB, 57
"Chinggis Khaan International Airport", ULN, 57
"Calvi-Sainte-Catherine Airport", CLY, 57
"Ram�n Villeda Morales International Airport", SAP, 57
"Coimbatore International Airport", CJB, 57
"Yulin Yuyang Airport", UYN, 57
"Benina International Airport", BEN, 56
"Hosea Kutako International Airport", WDH, 56
"Yanji Chaoyangchuan Airport", YNJ, 56
"Bandar Abbas International Airport", BND, 56
"Kish International Airport", KIH, 56
"Luoyang Airport", LYA, 56
"Porto Seguro Airport", BPS, 56
"Lviv International Airport", LWO, 56
"Figari Sud-Corse Airport", FSC, 56
"Sultan Syarif Kasim Ii (Simpang Tiga) Airport", PKU, 56
"Surgut Airport", SGC, 56
"Charlotte County Airport", PGD, 55
"Jerez Airport", XRY, 55
"El Tari Airport", KOE, 55
"Zakynthos International Airport "Dionysios Solomos"", ZTH, 55
"Sarasota Bradenton International Airport", SRQ, 55
"Dali Airport", DLU, 55
"Sioux Lookout Airport", YXL, 55
"Odessa International Airport", ODS, 54
"Honiara International Airport", HIR, 54
"Jo�o Paulo II Airport", PDL, 54
"Exeter International Airport", EXT, 54
"Huizhou Airport", HUZ, 54
"Sentani International Airport", DJJ, 53
"Genoa Cristoforo Colombo Airport", GOA, 53
"Aktau Airport", SCO, 53
"Del Caribe Santiago Mari�o International Airport", PMV, 53
"Santorini Airport", JTR, 53
"Kilimanjaro International Airport", JRO, 53
"Daegu Airport", TAE, 53
"Conakry International Airport", CKY, 52
"Halim Perdanakusuma International Airport", HLP, 52
"Martinique Aim� C�saire International Airport", FDF, 52
"Vishakhapatnam Airport", VTZ, 52
